u"It isn't."	'Note to self: when eating at a BBQ place, get the stupid BBQ. This steak is awful :(\n'
u"But if you like to surf and turf as the way I described above and a sweet tooth that won't stop, then go to the Wynn FTW!If you are a fan of Prime Rib, Crab Legs and Dessert, this is the buffet for you."	'Home for the next couple of days. Jet tub, dual closets, bathroom tv- nice!\n'
u"But if you like to surf and turf as the way I described above and a sweet tooth that won't stop, then go to the Wynn FTW!If you are a fan of Prime Rib, Crab Legs and Dessert, this is the buffet for you."	'Staggering back to the right hotel is always good- lol\n'
u"If you're not convinced that this is the place to stay, I don't know what more to say."	'Beware, room type is based on availability, hotel policy. Thats some bs.\n'
u"At the very back of the space it's like you're at the back patio of Jimmy's coffee or some other cool spot in the market."	'They have Dos Equois beer! Hell ya.\n'
u'Unfortunately service the rest of the time was very slow.'	'There is street parking nearby\n'
u'I found this a very honest and fair approach, and I would say for a time when I have no idea what brand/model I want to buy, I would definitely give this place a go!I first stumbled upon Odd Seoul about a year ago, and have since made it a staple stop for late night snacking.'	'Maple bbq chicken\n'
u'It was 1pm!'	'At around 7pm, the bread goes on sale. One bag full of bread is $1.99.\n'
u"I'll return for sure, and will definitely have to try out those $2 shooters at some point!I had been to Sukho Thai before for dinner and I had ordered delivery from them before, but this was my first time going for lunch."	'Students get 10% off everyday with their student card!\n'
u'Can be a reason to visit I guess when making a cigar purchase :)I am not a big fan of shopping at Loblaws but I guess I end up going to this one as its 24 hours now :) This Loblaws is quite convenient and has a huge parking lot which happens to be free (they have figured a way to make more money by charging parking for the club goers across the street at Guverment) Selection is quite good but prices are not if you shop around you can get a better price on most items at other stores.'	'10% off for students\n'
u"And as I've said, there are some pretty awesome people worth going back for, as well as their food."	'Reverse happy hour! Awesome signature drinks - be sure to get some plum wine :)\n'
u'So - Have yourself a beer, a big steaming bowl of Pho, and listen to your friends sing some karaoke (yes, they have karaoke!'	'Get the mussels and a side of rice. Use the rice and make a little soup with the broth. Amazing.\n'
u'For the quality that I brought to them they could treat me better i continue to ask the same questions over again to any business that seems like they are hiding something.'	'American sniper is the best movie this year so far.\n'
u'For the quality that I brought to them they could treat me better i continue to ask the same questions over again to any business that seems like they are hiding something.'	'Great place for a date with your wife\n'
u'For the quality that I brought to them they could treat me better i continue to ask the same questions over again to any business that seems like they are hiding something.'	'Like the theater, enjoy the movies with my wife.\n'
u'8 weeks and a dozen Churches later, really thankful for the suggestion from the Starbucks dude.On fire for the Lord!'	'$5 Tuesdays\n'
u'8 weeks and a dozen Churches later, really thankful for the suggestion from the Starbucks dude.On fire for the Lord!'	"Love these seats! Hope I don't doze off!\n"
u"Once you've chosen the type of pits your going to get and they grill it up for you then very much like subway, you get to pick and choose your toppings/fillings."	'Menu includes all ingredients on the burgers, so no surprises and you know exactly how to order your perfect burger.\n'
u'They have made quite a few huge changes but I can tell that they still do have a long way to go...'	'Check in was quick but access to rooms @ bungalows beyond the 2nd floor required one to carry a huge luggage so be careful not to fall with your luggage.\n'
u'Be prepared for warm and cold, sexy and casual all in the same outfit!'	'A MUST CHECK OUT in the arts district. So many interesting things, most are very reasonably priced! Best of all, there are 3 gentlemen that are absolutely wonderful: Friendly, helpful n so cool.\n'
u'Be prepared for warm and cold, sexy and casual all in the same outfit!'	'Accepts cash (of course) n major credit cards. So fun perusing but even better copping a great find.\n'
u'Everything is very good.'	'Birthplace of harry potter!!!!!!\n'
u'Located on top of the hill, there is a steep walking road to reach it.'	'Try to get a seat in the rear dining room which offers a great view of the castle!\n'
u'Very happy.'	"Diet friendly! Ask for chicken soup (hold the tortillas and cheese) and you're looking at less than 100 calories. Then splurge on a grilled fish taco and you still haven't blown the diet. Three different kinds of iced tea to quench your thirst. Cheaper than the cafe at Life Time Fitness.\n"
u'and I loved it :D I\'ll get right to the point- CHEAP, DELICIOUS, SIMPLE I had the BUL-GOGI (BEEF) FRIED RICE BOWL ($6.99)- okay so the flavor was "eh" in fact, it didn\'t have much flavor, but for the price, they give you enough for lunch, dinner, and lunch again.'	'Try the Kahuna Grande! :D\n'
u"They're also located in a very tiny and nondescript parking lot, so unless you know that its there it'll be hard to find on your first visit.A pretty good Starbucks in it's own right."	"Try the wahoo fries. You won't regret\n"
u'Great BBQ at decent prices.'	':)\n'
u'Great BBQ at decent prices.'	'Nice bar... Great staff....tight machines !\n'
u'I also wanted a to try a feta pie but I found out that we would have to wait in a different line for that.'	'Come volunteer or donate school supplies!\n'
u'But you know the old saying save the best for last so today I got the "pho dip" and let me tell you the best dip I have ever had.'	'New decor\n'
u'But you know the old saying save the best for last so today I got the "pho dip" and let me tell you the best dip I have ever had.'	'Try chef specials\n'
u'But you know the old saying save the best for last so today I got the "pho dip" and let me tell you the best dip I have ever had.'	'Try the chef specials, check out the new decor\n'
u"I'll have to try that if I go again."	'Yes, you can pick fried rice with the Chinese entree happy hour specials.\n'
u'HEAVEN!'	'Bombness!\n'
